scenario,rep_num,patient_id,arrival_ts,got_greeter_ts,release_greeter_ts,got_reg_ts,release_reg_ts,got_vaccinator_ts,release_vaccinator_ts,got_scheduler_ts,release_scheduler_ts,exit_system_ts,wait_for_greeter,wait_for_reg,wait_for_vaccinator,vaccination_time,wait_for_scheduler,post_vacc_time,time_in_system
base_v15,1,7,0.8278647963141194,0.8278647963141194,1.1284928769132794,1.8817349549934863,2.116967819658634,2.116967819658634,5.808046429757655,,,21.14423789245786,0.0,0.7532420780802072,0.0,3.691078610099021,,15.336191462700205,20.31637309614374
base_v15,1,4,0.7177108166650722,0.7177108166650722,0.9391338652892522,0.9391338652892522,1.8817349549934863,1.8817349549934863,6.272876694614728,,,21.346381117033523,0.0,0.0,0.0,4.391141739621241,,15.073504422418797,20.62867030036845
base_v15,1,3,0.4102866904979777,0.4102866904979777,0.7543929131959402,0.7543929131959402,2.6308126297687826,2.6308126297687826,6.835213298972578,6.835213298972578,7.968243553934579,22.133874597010067,0.0,0.0,0.0,4.204400669203795,0.0,15.298661298037487,21.72358790651209
base_v15,1,13,2.2841115640536995,2.2841115640536995,2.513992018854738,3.175781866065654,3.262560916134132,3.262560916134132,6.742793814609757,6.742793814609757,7.82868567236804,22.42523255881022,0.0,0.6617898472109158,0.0,3.480232898475625,0.0,15.68243874420046,20.14112099475652
base_v15,1,1,0.2591639414634509,0.2591639414634509,0.4346285429709167,0.4346285429709167,1.1394926047531913,1.1394926047531913,5.749405575330366,,,22.538894947762987,0.0,0.0,0.0,4.609912970577175,,16.78948937243262,22.27973100629953
base_v15,1,8,0.9114024293241012,0.9391338652892522,1.3024570405183542,1.916729815604142,3.083173237334138,3.083173237334138,7.346236135419165,7.346236135419165,8.337802254889896,22.855765797563823,0.027731435965151,0.6142727750857879,0.0,4.2630628980850265,0.0,15.50952966214466,21.944363368239724
base_v15,1,6,0.8045761087385055,0.8045761087385055,1.111437836778448,1.4841528592634528,1.916729815604142,1.916729815604142,5.449380123234455,5.449380123234455,6.429348923702898,23.222213919694543,0.0,0.3727150224850049,0.0,3.532650307630313,0.0,17.77283379646009,22.41763781095604
base_v15,1,9,0.9623936547446154,1.0120814233436368,1.306828077449822,2.116967819658634,3.427459393700387,3.427459393700387,7.457745052372941,7.82868567236804,8.875254270793857,23.22484933709998,0.0496877685990214,0.8101397422088121,0.0,4.030285658672554,0.3709406199950988,15.767104284727038,22.262455682355363
base_v15,1,12,1.980810975959633,1.980810975959633,2.2374708829619205,3.1651754272244705,3.175781866065654,3.175781866065654,6.874566718921001,6.874566718921001,8.011454298645722,23.69131198149911,0.0,0.92770454426255,0.0,3.698784852855346,0.0,16.81674526257811,21.71050100553948
base_v15,1,5,0.7737418635168912,0.7737418635168912,1.0120814233436368,1.1394926047531913,3.780707674935168,3.780707674935168,8.372007331827918,8.372007331827918,9.389543761946276,23.934995134307957,0.0,0.1274111814095544,0.0,4.591299656892749,0.0,15.562987802480036,23.16125327079106
base_v15,1,14,3.55616748623953,3.55616748623953,3.776393443499545,3.776393443499545,4.322012291471808,4.322012291471808,8.172578945309422,,,23.986867349773576,0.0,0.0,0.0,3.850566653837613,,15.814288404464154,20.430699863534045
base_v15,1,11,1.7383191125829165,1.7383191125829165,2.017854435864044,3.083173237334138,3.785457528988151,3.785457528988151,7.825731569992632,,,24.925639024104942,0.0,1.0653188014700945,0.0,4.040274041004481,,17.099907454112312,23.187319911522028
base_v15,1,15,3.576339666753422,3.576339666753422,3.7693778848217914,3.7693778848217914,5.559096626691972,5.559096626691972,9.057867197453682,,,25.091655994756856,0.0,0.0,0.0,3.4987705707617094,,16.033788797303174,21.515316328003436
base_v15,1,2,0.2883726236719546,0.2883726236719546,0.5659440212072435,0.5659440212072435,1.4841528592634528,1.4841528592634528,5.619368345862831,,,25.69658459766833,0.0,0.0,0.0,4.135215486599378,,20.0772162518055,25.408211973996377
base_v15,1,18,5.411578828039442,5.411578828039442,5.635307536412622,5.635307536412622,6.875541006563378,6.875541006563378,9.956965817364138,,,25.897199971788368,0.0,0.0,0.0,3.081424810800759,,15.94023415442423,20.48562114374893
base_v15,1,22,6.611687717068976,6.611687717068976,6.901140186982487,7.10215880663046,7.485441815504648,7.485441815504648,11.223959123615504,11.223959123615504,12.155168903692257,26.366032815562367,0.0,0.2010186196479733,0.0,3.738517308110856,0.0,15.142073691946862,19.754345098493392
base_v15,1,20,5.967868819794649,5.967868819794649,6.2419536142876,6.875541006563378,7.5451156735042435,7.5451156735042435,11.52428787100273,11.52428787100273,12.640116001682037,26.55380753418844,0.0,0.6335873922757784,0.0,3.979172197498487,0.0,15.02951966318571,20.58593871439379
base_v15,1,21,6.322254733790977,6.322254733790977,6.614606459172574,6.905364269592304,7.883275343771697,7.883275343771697,11.861274170443096,11.861274170443096,12.877185020670495,26.892573147005745,0.0,0.2907578104197297,0.0,3.9779988266713993,0.0,15.031298976562647,20.570318413214768
base_v15,1,24,6.758185772762831,6.758185772762831,6.924945926074229,7.485441815504648,8.382157869352298,8.382157869352298,11.948360262733516,11.948360262733516,13.01987233310474,27.261573507772155,0.0,0.5604958894304195,0.0,3.566202393381218,0.0,15.31321324503864,20.503387735009326
base_v15,1,26,7.702830798479214,7.702830798479214,8.047246243549766,8.047246243549766,8.423702764142355,8.423702764142355,12.318941592087915,12.318941592087915,13.24742820206143,27.83401367342812,0.0,0.0,0.0,3.895238827945562,0.0,15.515072081340204,20.131182874948905
base_v15,1,17,5.022150560778817,5.022150560778817,5.342850192538852,5.342850192538852,7.037381423963775,7.037381423963775,11.35611514306689,,,28.007997027834143,0.0,0.0,0.0,4.318733719103116,,16.651881884767253,22.985846467055325
base_v15,1,25,6.918927934449586,6.918927934449586,7.201581109115398,7.5451156735042435,8.705394060394008,8.705394060394008,12.607680334181286,12.640116001682037,13.78230248201038,28.3292382415033,0.0,0.3435345643888459,0.0,3.902286273787277,0.0324356675007493,15.721557907322016,21.410310307053717
base_v15,1,19,5.844599154669784,5.844599154669784,6.153192746652299,6.153192746652299,7.10215880663046,7.10215880663046,10.862811009766434,10.862811009766434,11.882188986913054,28.59120221640021,0.0,0.0,0.0,3.760652203135973,0.0,17.728391206633773,22.746603061730426
base_v15,1,10,1.212732225715694,1.212732225715694,1.4031297404936072,2.6308126297687826,3.1651754272244705,3.1651754272244705,7.614294581427872,,,29.157862860154104,0.0,1.2276828892751754,0.0,4.449119154203402,,21.543568278726237,27.94513063443841
base_v15,1,28,7.882322308848604,7.882322308848604,8.088908209812034,8.382157869352298,8.744964695022615,8.744964695022615,12.950430156524664,12.950430156524664,13.982806896988649,29.22352826975296,0.0,0.2932496595402636,0.0,4.205465461502049,0.0,16.273098113228293,21.341205960904357
base_v15,1,30,9.118692425170872,9.118692425170872,9.391801239663454,9.391801239663454,10.378433452195663,10.378433452195663,14.297943106578105,14.297943106578105,15.21523885784124,29.772595063845248,0.0,0.0,0.0,3.919509654382441,0.0,15.474651957267143,20.65390263867437
base_v15,1,32,9.358991905474117,9.358991905474117,9.62103503019336,10.378433452195663,11.000623583203884,11.000623583203884,14.548783205381032,,,29.80415362169526,0.0,0.7573984220023036,0.0,3.548159622177149,,15.255370416314229,20.445161716221143
base_v15,1,35,9.992992635033156,9.992992635033156,10.295603417418535,11.250491645499997,11.719717756116774,11.719717756116774,15.001735917472065,,,31.09016659855924,0.0,0.9548882280814616,0.0,3.282018161355291,,16.08843068108717,21.09717396352608
base_v15,1,36,10.236700084486204,10.236700084486204,10.442403268734529,11.719717756116774,13.231369901181418,13.231369901181418,16.600075185811647,,,31.81842755753385,0.0,1.2773144873822453,0.0,3.368705284630229,,15.218352371722204,21.581727473047646
base_v15,1,29,8.300033275290437,8.300033275290437,8.57357867830469,8.705394060394008,10.489694474477758,10.489694474477758,15.146605230817642,15.146605230817642,16.112671995925876,31.87497761743533,0.0,0.1318153820893179,0.0,4.656910756339883,0.0,16.728372386617693,23.574944342144896
base_v15,1,31,9.334829552583273,9.334829552583273,9.64973781649561,10.489694474477758,11.250491645499997,11.250491645499997,15.621117753090422,15.621117753090422,16.53270441191597,31.912400788469952,0.0,0.8399566579821478,0.0,4.370626107590425,0.0,16.29128303537953,22.57757123588668
base_v15,1,27,7.853092144769,7.853092144769,8.182394157720275,8.423702764142355,11.209694981770168,11.209694981770168,15.489384977107743,15.489384977107743,16.471790250272914,32.060648248485684,0.0,0.2413086064220806,0.0,4.279689995337575,0.0,16.57126327137794,24.207556103716684
